"ID","CHURN","AUTRE_ABONNEMENT","ANCIENNETE","CATEGORIE_OFFRE_M1","STATUT_RC_M1","STATUT_TRAFIC_M1","STATUT_FACT_M1","STATUT_TRAFIC_M2","STATUT_RC_M2","STATUT_FACT_M2","VOL_DATA_M1","MONTANT_FACT_HT_M1","VOL_DATA_M2","MONTANT_OM_HT_M2","MONTANT_FACT_HT_M2","VOL_TOT_DATA_KO_M1","VOL_TOT_VOIX_M1","CONSO_M1","VOL_TOT_DATA_KO_M2","VOL_TOT_VOIX_M2","CONSO_M2"
"64191486","0","0","4- 12Mois","B2C","0","1","0","1","1","0","31404.935076294","0","17418.095228","14049.586776859","0","10988404.511719","409.51666666667","8871.19","16856443.236328","556.75","14700"
"51792659","0","0","7- 25Mois+","B2C","1","1","0","1","1","0","38321.879038","0","43179.099756","0","0","0","127.63333333333","77","0","87.6","1417"
"40505106","0","0","7- 25Mois+","B2C","0","1","0","1","0","0","34939.44769","0","27853.789306701","0","0","9260109.3369141","596.31666666667","6592","10835075.482422","556.63333333333","10338.17"
"52147353","0","0","7- 25Mois+","B2C","0","1","0","1","1","0","131664.922","0","149552.62560061","20661.157024793","0","3930245.2470703","119.53333333333","7500","3685470.3066406","198.33333333333","7500"
"64193711","0","0","4- 12Mois","B2B","0","1","1","1","0","1","577.5743769","18965","861.6678152","0","18988","2289574.7011719","220.21666666667","6420","1523971.6621094","139.98333333333","2550"
"55955242","0","1","6- 24Mois","B2B","1","1","0","1","1","0","151388.27017639","0","109983.4329","0","0","3334075.7275391","370.5","18781","3412188.8740234","324.3","49490.48"
"41370071","0","0","7- 25Mois+","B2C","1","1","0","1","1","0","176188.30813124","0","54699.76052","14049.586776859","0","18832260.810547","1398.0166666667","20197","8131435.6601562","1231.6833333333","19863.25"
"62782810","1","0","5- 18Mois","B2C","0","1","0","1","0","0","3.01328655","0","1.6041527","0","0","6217545.0078125","965.56666666667","6550","5179843.4658203","828.9","9901.13"
"49365101","0","1","7- 25Mois+","B2B","0","1","1","1","0","1","482387.962","25424","352245.1093","0","25424","0","0","0","0","0","0"
"40994100","0","1","7- 25Mois+","B2C","0","1","0","1","1","0","306405.885962","0","288213.320653","24793.388429752","0","54961057.779297","1977.3666666667","20200","36063758.625977","1809.6666666667","20000"
"72915624","1","0","1- 03Mois","B2C","0","1","0","1","1","0","46499.8721","0","12755.83888","0","0","12936673.120117","40.216666666667","6769.71","21688798.161133","80.583333333333","11200.34"
"36408112","1","0","7- 25Mois+","B2C","0","1","0","0","0","0","0.018234253","0","0","0","0","3444923.3242188","274.2","3015.1","1821809.9189453","186.83333333333","3350"
"52064091","0","0","7- 25Mois+","B2C","1","1","0","1","0","0","72757.30018","0","23.28052612","0","0","6035978.6796875","788.75","12019.25","4657550.8671875","756.96666666667","10000"
"38165696","0","0","7- 25Mois+","B2C","0","1","0","1","0","0","108798.29561","0","103144.8144","0","0","12365571.71582","905.2","10315","18738408.869141","645.26666666667","25511"
"54309627","0","1","6- 24Mois","B2C","0","1","0","1","0","0","223.7629035","0","260.14910924","0","0","28493036.962891","1048.15","25000","17423959.354492","1416.5","18500"
"42827139","1","0","7- 25Mois+","B2C","0","1","0","0","0","0","0.84095952925","0","0","0","0","7032406.8398438","142.3","4300","7818722.0234375","203.31666666667","5300"
